k,jl_eps,cluster_radius,lambda_eps,lambda_k,jl_dim,actual_clusters,lambda_min,lambda_max,lambda_mean,lambda_spread,graph_nnz,graph_sparsity
50,0.350,1.6,0.750,10,256,50,0.00000000,1.00000000,0.31385816,1.00000000,647,0.996612
50,0.350,1.6,0.900,10,256,50,0.00000000,1.00000000,0.46492827,1.00000000,1711,0.991040
50,0.350,1.6,1.000,10,256,50,0.00000000,1.00000000,0.38500300,1.00000000,3055,0.984003
50,0.350,1.6,1.200,10,256,50,0.00000000,1.00000000,0.47724193,1.00000000,5255,0.972482
50,0.350,2.0,0.500,10,256,50,0.00000000,0.00000000,0.00000000,0.00000000,437,0.997712
50,0.350,2.0,0.750,10,256,50,0.00000000,1.00000000,0.29647614,1.00000000,639,0.996654
50,0.350,2.0,0.900,10,256,50,0.00000000,1.00000000,0.35263861,1.00000000,1719,0.990999
50,0.350,2.0,1.000,10,256,50,0.00000000,1.00000000,0.39262579,1.00000000,2997,0.984306
50,0.350,2.0,1.200,10,256,50,0.00000000,1.00000000,0.42699104,1.00000000,5241,0.972556
50,0.350,2.6,0.500,10,256,50,0.00000000,0.00000000,0.00000000,0.00000000,437,0.997712
50,0.350,2.6,0.750,10,256,50,0.00000000,1.00000000,0.30125958,1.00000000,635,0.996675
50,0.350,2.6,0.900,10,256,50,0.00000000,1.00000000,0.44689995,1.00000000,1701,0.991093
50,0.350,2.6,1.000,10,256,50,0.00000000,1.00000000,0.45927981,1.00000000,3091,0.983814
50,0.350,2.6,1.200,10,256,50,0.00000000,1.00000000,0.38983060,1.00000000,5219,0.972671
50,0.350,3.2,0.500,10,256,35,0.00000000,1.00000000,0.33359680,1.00000000,445,0.997670
50,0.350,3.2,0.750,10,256,36,0.00000000,1.00000000,0.28795224,1.00000000,817,0.995722
50,0.350,3.2,0.900,10,256,11,0.00000000,1.00000000,0.41120710,1.00000000,2433,0.987260
50,0.350,3.2,1.000,10,256,22,0.00000000,1.00000000,0.30243212,1.00000000,2879,0.984924
50,0.350,3.2,1.200,10,256,47,0.00000000,1.00000000,0.31740847,1.00000000,5195,0.972797
50,0.500,0.8,0.500,10,126,50,0.00000000,0.00000000,0.00000000,0.00000000,214,0.995327
50,0.500,0.8,0.750,10,126,50,0.00000000,1.00000000,0.23805997,1.00000000,300,0.993449
50,0.500,0.8,0.900,10,126,50,0.00000000,1.00000000,0.37747501,1.00000000,818,0.982138
50,0.500,0.8,1.000,10,126,50,0.00000000,1.00000000,0.36224823,1.00000000,1492,0.967421
50,0.500,0.8,1.200,10,126,50,0.00000000,1.00000000,0.45723125,1.00000000,2532,0.944711
50,0.500,1.2,0.500,10,126,50,0.00000000,0.00000000,0.00000000,0.00000000,214,0.995327
50,0.500,1.2,0.750,10,126,50,0.00000000,1.00000000,0.20853655,1.00000000,292,0.993624
50,0.500,1.2,0.900,10,126,50,0.00000000,1.00000000,0.30927323,1.00000000,820,0.982095
50,0.500,1.2,1.000,10,126,50,0.00000000,1.00000000,0.35985141,1.00000000,1456,0.968207
50,0.500,1.2,1.200,10,126,50,0.00000000,1.00000000,0.38353696,1.00000000,2534,0.944668
50,0.500,1.6,0.500,10,126,50,0.00000000,0.00000000,0.00000000,0.00000000,214,0.995327
50,0.500,1.6,0.750,10,126,50,0.00000000,1.00000000,0.23004957,1.00000000,280,0.993886
50,0.500,1.6,0.900,10,126,50,0.00000000,1.00000000,0.37451539,1.00000000,792,0.982706
50,0.500,1.6,1.000,10,126,50,0.00000000,1.00000000,0.37103667,1.00000000,1476,0.967770
50,0.500,1.6,1.200,10,126,50,0.00000000,1.00000000,0.45372926,1.00000000,2534,0.944668
50,0.500,2.0,0.500,10,126,50,0.00000000,0.00000000,0.00000000,0.00000000,214,0.995327
50,0.500,2.0,0.750,10,126,50,0.00000000,1.00000000,0.28245391,1.00000000,298,0.993493
50,0.500,2.0,0.900,10,126,50,0.00000000,1.00000000,0.27748170,1.00000000,824,0.982007
50,0.500,2.0,1.000,10,126,50,0.00000000,1.00000000,0.33073089,1.00000000,1442,0.968513
50,0.500,2.0,1.200,10,126,50,0.00000000,1.00000000,0.45739192,1.00000000,2574,0.943794
50,0.500,2.6,0.500,10,126,50,0.00000000,0.00000000,0.00000000,0.00000000,214,0.995327
50,0.500,2.6,0.750,10,126,50,0.00000000,1.00000000,0.23560399,1.00000000,292,0.993624
50,0.500,2.6,0.900,10,126,50,0.00000000,1.00000000,0.41819261,1.00000000,816,0.982182
50,0.500,2.6,1.000,10,126,50,0.00000000,1.00000000,0.39404566,1.00000000,1424,0.968906
50,0.500,2.6,1.200,10,126,50,0.00000000,1.00000000,0.37726527,1.00000000,2560,0.944100
50,0.500,3.2,0.500,10,126,8,0.00000000,1.00000000,0.28863177,1.00000000,438,0.990436
50,0.500,3.2,0.750,10,126,20,0.00000000,1.00000000,0.36334200,1.00000000,552,0.987947
50,0.500,3.2,0.900,10,126,18,0.00000000,1.00000000,0.35079745,1.00000000,1066,0.976723
50,0.500,3.2,1.000,10,126,11,0.00000000,1.00000000,0.36080372,1.00000000,1478,0.967726
50,0.500,3.2,1.200,10,126,16,0.00000000,1.00000000,0.41364538,1.00000000,2184,0.952310
50,0.700,0.8,0.500,10,64,50,0.00000000,0.00000000,0.00000000,0.00000000,110,0.990909
50,0.700,0.8,0.750,10,64,50,0.00000000,1.00000000,0.25489852,1.00000000,176,0.985455
50,0.700,0.8,0.900,10,64,50,0.00000000,1.00000000,0.27337308,1.00000000,454,0.962479
50,0.700,0.8,1.000,10,64,50,0.00000000,1.00000000,0.30435426,1.00000000,764,0.936860
50,0.700,0.8,1.200,10,64,50,0.00000000,1.00000000,0.40749735,1.00000000,1314,0.891405
50,0.700,1.2,0.500,10,64,50,0.00000000,0.00000000,0.00000000,0.00000000,110,0.990909
50,0.700,1.2,0.750,10,64,50,0.00000000,1.00000000,0.25707236,1.00000000,164,0.986446
50,0.700,1.2,0.900,10,64,50,0.00000000,1.00000000,0.23042427,1.00000000,410,0.966116
50,0.700,1.2,1.000,10,64,50,0.00000000,1.00000000,0.38597108,1.00000000,764,0.936860
50,0.700,1.2,1.200,10,64,50,0.00000000,1.00000000,0.25595145,1.00000000,1286,0.893719
50,0.700,1.6,0.500,10,64,50,0.00000000,0.00000000,0.00000000,0.00000000,110,0.990909
50,0.700,1.6,0.750,10,64,50,0.00000000,1.00000000,0.20772214,1.00000000,162,0.986612
50,0.700,1.6,0.900,10,64,50,0.00000000,1.00000000,0.29834426,1.00000000,392,0.967603
50,0.700,1.6,1.000,10,64,50,0.00000000,1.00000000,0.30418231,1.00000000,782,0.935372
50,0.700,1.6,1.200,10,64,50,0.00000000,1.00000000,0.45563220,1.00000000,1284,0.893884
50,0.700,2.0,0.500,10,64,50,0.00000000,0.00000000,0.00000000,0.00000000,110,0.990909
50,0.700,2.0,0.750,10,64,50,0.00000000,1.00000000,0.18385792,1.00000000,144,0.988099
50,0.700,2.0,0.900,10,64,50,0.00000000,1.00000000,0.29457962,1.00000000,438,0.963802
50,0.700,2.0,1.000,10,64,50,0.00000000,1.00000000,0.18452354,1.00000000,742,0.938678
50,0.700,2.0,1.200,10,64,50,0.00000000,1.00000000,0.39482585,1.00000000,1290,0.893388
50,0.700,2.6,0.500,10,64,45,0.00000000,0.00000000,0.00000000,0.00000000,110,0.990909
50,0.700,2.6,0.750,10,64,50,0.00000000,1.00000000,0.21624879,1.00000000,162,0.986612
50,0.700,2.6,0.900,10,64,50,0.00000000,1.00000000,0.28881275,1.00000000,402,0.966777
50,0.700,2.6,1.000,10,64,39,0.00000000,1.00000000,0.33411091,1.00000000,782,0.935372
50,0.700,2.6,1.200,10,64,50,0.00000000,1.00000000,0.36107132,1.00000000,1288,0.893554
50,0.700,3.2,0.500,10,64,11,0.00000000,1.00000000,0.25828186,1.00000000,176,0.985455
50,0.700,3.2,0.750,10,64,11,0.00000000,1.00000000,0.22748651,1.00000000,364,0.969917
50,0.700,3.2,0.900,10,64,5,0.00000000,1.00000000,0.29934035,1.00000000,630,0.947934
50,0.700,3.2,1.000,10,64,6,0.00000000,1.00000000,0.32031693,1.00000000,772,0.936198
50,0.700,3.2,1.200,10,64,4,0.00000000,1.00000000,0.32097897,1.00000000,894,0.926116
100,0.250,0.8,0.500,10,590,100,0.00000000,0.00000000,0.00000000,0.00000000,856,0.998832
100,0.250,0.8,0.750,10,590,100,0.00000000,1.00000000,0.24499556,1.00000000,916,0.998750
100,0.250,0.8,0.900,10,590,100,0.00000000,1.00000000,0.39769430,1.00000000,2550,0.996520
100,0.250,0.8,1.000,10,590,100,0.00000000,1.00000000,0.48033719,1.00000000,5950,0.991880
100,0.250,0.8,1.200,10,590,100,0.00000000,1.00000000,0.39187771,1.00000000,10894,0.985132
100,0.250,1.2,0.500,10,590,100,0.00000000,0.00000000,0.00000000,0.00000000,856,0.998832
100,0.250,1.2,0.750,10,590,100,0.00000000,1.00000000,0.18179882,1.00000000,926,0.998736
100,0.250,1.2,0.900,10,590,100,0.00000000,1.00000000,0.34396971,1.00000000,2448,0.996659
100,0.250,1.2,1.000,10,590,100,0.00000000,1.00000000,0.47338767,1.00000000,6062,0.991727
100,0.250,1.2,1.200,10,590,100,0.00000000,1.00000000,0.38668510,1.00000000,10834,0.985214
100,0.250,1.6,0.500,10,590,100,0.00000000,0.00000000,0.00000000,0.00000000,856,0.998832
100,0.250,1.6,0.750,10,590,100,0.00000000,1.00000000,0.15436352,1.00000000,906,0.998764
100,0.250,1.6,0.900,10,590,100,0.00000000,1.00000000,0.40955438,1.00000000,2438,0.996673
100,0.250,1.6,1.000,10,590,100,0.00000000,1.00000000,0.49056011,1.00000000,5950,0.991880
100,0.250,1.6,1.200,10,590,100,0.00000000,1.00000000,0.36383341,1.00000000,10846,0.985198
100,0.250,2.0,0.500,10,590,100,0.00000000,0.00000000,0.00000000,0.00000000,856,0.998832
100,0.250,2.0,0.750,10,590,100,0.00000000,1.00000000,0.26797660,1.00000000,918,0.998747
100,0.250,2.0,0.900,10,590,100,0.00000000,1.00000000,0.38893444,1.00000000,2550,0.996520
100,0.250,2.0,1.000,10,590,100,0.00000000,1.00000000,0.36582223,1.00000000,5976,0.991844
100,0.250,2.0,1.200,10,590,100,0.00000000,1.00000000,0.47756149,1.00000000,10826,0.985225
100,0.250,2.6,0.500,10,590,100,0.00000000,0.00000000,0.00000000,0.00000000,856,0.998832
100,0.250,2.6,0.750,10,590,100,0.00000000,1.00000000,0.28621368,1.00000000,922,0.998742
100,0.250,2.6,0.900,10,590,100,0.00000000,1.00000000,0.29603931,1.00000000,2504,0.996583
100,0.250,2.6,1.000,10,590,100,0.00000000,1.00000000,0.41842439,1.00000000,5898,0.991951
100,0.250,2.6,1.200,10,590,100,0.00000000,1.00000000,0.41407152,1.00000000,10848,0.985195
100,0.250,3.2,0.500,10,590,70,0.00000000,0.00000000,0.00000000,0.00000000,856,0.998832
100,0.250,3.2,0.750,10,590,69,0.00000000,1.00000000,0.27989060,1.00000000,1052,0.998564
100,0.250,3.2,0.900,10,590,23,0.00000000,1.00000000,0.44811607,1.00000000,4116,0.994383
100,0.250,3.2,1.000,10,590,100,0.00000000,1.00000000,0.39882740,1.00000000,6006,0.991803
100,0.250,3.2,1.200,10,590,100,0.00000000,1.00000000,0.40576964,1.00000000,10868,0.985168
100,0.350,0.8,0.500,10,301,100,0.00000000,0.00000000,0.00000000,0.00000000,437,0.997712
100,0.350,0.8,0.750,10,301,100,0.00000000,1.00000000,0.19351349,1.00000000,479,0.997492
100,0.350,0.8,0.900,10,301,100,0.00000000,1.00000000,0.33765974,1.00000000,1243,0.993491
100,0.350,0.8,1.000,10,301,100,0.00000000,1.00000000,0.45852571,1.00000000,3075,0.983898
100,0.350,0.8,1.200,10,301,100,0.00000000,1.00000000,0.42184647,1.00000000,5509,0.971152
100,0.350,1.2,0.500,10,301,100,0.00000000,0.00000000,0.00000000,0.00000000,437,0.997712
100,0.350,1.2,0.750,10,301,100,0.00000000,1.00000000,0.23898113,1.00000000,469,0.997544
100,0.350,1.2,0.900,10,301,100,0.00000000,1.00000000,0.33213999,1.00000000,1195,0.993742
100,0.350,1.2,1.000,10,301,100,0.00000000,1.00000000,0.41324100,1.00000000,2975,0.984422
100,0.350,1.2,1.200,10,301,100,0.00000000,1.00000000,0.35223088,1.00000000,5521,0.971090
100,0.350,1.6,0.500,10,301,100,0.00000000,0.00000000,0.00000000,0.00000000,437,0.997712
100,0.350,1.6,0.750,10,301,100,0.00000000,1.00000000,0.24541078,1.00000000,471,0.997534
100,0.350,1.6,0.900,10,301,100,0.00000000,1.00000000,0.34219563,1.00000000,1289,0.993250
100,0.350,1.6,1.000,10,301,100,0.00000000,1.00000000,0.35396558,1.00000000,3067,0.983940
100,0.350,1.6,1.200,10,301,100,0.00000000,1.00000000,0.42951669,1.00000000,5529,0.971048
100,0.350,2.0,0.500,10,301,100,0.00000000,0.00000000,0.00000000,0.00000000,437,0.997712
100,0.350,2.0,0.750,10,301,100,0.00000000,1.00000000,0.18081366,1.00000000,455,0.997617
100,0.350,2.0,0.900,10,301,100,0.00000000,1.00000000,0.35399682,1.00000000,1165,0.993900
100,0.350,2.0,1.000,10,301,100,0.00000000,1.00000000,0.38720924,1.00000000,2957,0.984516
100,0.350,2.0,1.200,10,301,100,0.00000000,1.00000000,0.40872542,1.00000000,5523,0.971079
100,0.350,2.6,0.500,10,301,100,0.00000000,0.00000000,0.00000000,0.00000000,437,0.997712
100,0.350,2.6,0.750,10,301,100,0.00000000,1.00000000,0.17618487,1.00000000,471,0.997534
100,0.350,2.6,0.900,10,301,100,0.00000000,1.00000000,0.35853970,1.00000000,1319,0.993093
100,0.350,2.6,1.000,10,301,100,0.00000000,1.00000000,0.35221121,1.00000000,2977,0.984411
100,0.350,2.6,1.200,10,301,100,0.00000000,1.00000000,0.42631848,1.00000000,5539,0.970995
100,0.350,3.2,0.500,10,301,19,0.00000000,1.00000000,0.21236141,1.00000000,495,0.997408
100,0.350,3.2,0.750,10,301,31,0.00000000,1.00000000,0.34739495,1.00000000,861,0.995491
100,0.350,3.2,0.900,10,301,15,0.00000000,1.00000000,0.36746728,1.00000000,2335,0.987773
100,0.350,3.2,1.000,10,301,15,0.00000000,1.00000000,0.42625698,1.00000000,3005,0.984264
100,0.350,3.2,1.200,10,301,49,0.00000000,1.00000000,0.40104866,1.00000000,5227,0.972629
100,0.500,0.8,0.500,10,148,100,0.00000000,0.00000000,0.00000000,0.00000000,214,0.995327
100,0.500,0.8,0.750,10,148,100,0.00000000,1.00000000,0.30251293,1.00000000,224,0.995109
100,0.500,0.8,0.900,10,148,100,0.00000000,1.00000000,0.22587265,1.00000000,636,0.986112
100,0.500,0.8,1.000,10,148,100,0.00000000,1.00000000,0.45256474,1.00000000,1500,0.967246
100,0.500,0.8,1.200,10,148,100,0.00000000,1.00000000,0.44938526,1.00000000,2684,0.941392
100,0.500,1.2,0.500,10,148,100,0.00000000,0.00000000,0.00000000,0.00000000,214,0.995327
100,0.500,1.2,0.750,10,148,100,0.00000000,1.00000000,0.26581247,1.00000000,228,0.995021
100,0.500,1.2,0.900,10,148,100,0.00000000,1.00000000,0.30654761,1.00000000,582,0.987291
100,0.500,1.2,1.000,10,148,100,0.00000000,1.00000000,0.39108557,1.00000000,1462,0.968076
100,0.500,1.2,1.200,10,148,100,0.00000000,1.00000000,0.39871103,1.00000000,2688,0.941305
100,0.500,1.6,0.500,10,148,100,0.00000000,0.00000000,0.00000000,0.00000000,214,0.995327
100,0.500,1.6,0.750,10,148,100,0.00000000,1.00000000,0.49640564,1.00000000,218,0.995240
100,0.500,1.6,0.900,10,148,100,0.00000000,1.00000000,0.26530688,1.00000000,652,0.985763
100,0.500,1.6,1.000,10,148,100,0.00000000,1.00000000,0.43163349,1.00000000,1444,0.968469
100,0.500,1.6,1.200,10,148,100,0.00000000,1.00000000,0.33085929,1.00000000,2666,0.941785
100,0.500,2.0,0.500,10,148,100,0.00000000,0.00000000,0.00000000,0.00000000,214,0.995327
100,0.500,2.0,0.750,10,148,100,0.00000000,1.00000000,0.20739087,1.00000000,230,0.994978
100,0.500,2.0,0.900,10,148,100,0.00000000,1.00000000,0.31304634,1.00000000,610,0.986680
100,0.500,2.0,1.000,10,148,100,0.00000000,1.00000000,0.38114282,1.00000000,1418,0.969037
100,0.500,2.0,1.200,10,148,100,0.00000000,1.00000000,0.42833321,1.00000000,2706,0.940912
100,0.500,2.6,0.500,10,148,100,0.00000000,0.00000000,0.00000000,0.00000000,214,0.995327
100,0.500,2.6,0.750,10,148,100,0.00000000,1.00000000,0.39258196,1.00000000,220,0.995196
100,0.500,2.6,0.900,10,148,100,0.00000000,1.00000000,0.34202730,1.00000000,618,0.986505
100,0.500,2.6,1.000,10,148,100,0.00000000,1.00000000,0.36863828,1.00000000,1540,0.966373
100,0.500,2.6,1.200,10,148,100,0.00000000,1.00000000,0.35614425,1.00000000,2684,0.941392
100,0.500,3.2,0.500,10,148,5,0.00000000,1.00000000,0.36743784,1.00000000,602,0.986855
100,0.500,3.2,0.750,10,148,8,0.00000000,1.00000000,0.31212038,1.00000000,874,0.980915
100,0.500,3.2,0.900,10,148,14,0.00000000,1.00000000,0.33954446,1.00000000,1100,0.975980
100,0.500,3.2,1.000,10,148,17,0.00000000,1.00000000,0.31469127,1.00000000,1470,0.967901
100,0.500,3.2,1.200,10,148,14,0.00000000,1.00000000,0.40792790,1.00000000,2146,0.953140
100,0.700,0.8,0.500,10,76,100,0.00000000,0.00000000,0.00000000,0.00000000,110,0.990909
100,0.700,0.8,0.750,10,76,100,0.00000000,1.00000000,0.39847468,1.00000000,116,0.990413
100,0.700,0.8,0.900,10,76,100,0.00000000,1.00000000,0.29096536,1.00000000,296,0.975537
100,0.700,0.8,1.000,10,76,100,0.00000000,1.00000000,0.40208068,1.00000000,794,0.934380
100,0.700,0.8,1.200,10,76,100,0.00000000,1.00000000,0.36120179,1.00000000,1366,0.887107
100,0.700,1.2,0.500,10,76,100,0.00000000,0.00000000,0.00000000,0.00000000,110,0.990909
100,0.700,1.2,0.750,10,76,100,0.00000000,1.00000000,0.36637540,1.00000000,116,0.990413
100,0.700,1.2,0.900,10,76,100,0.00000000,1.00000000,0.28839605,1.00000000,342,0.971736
100,0.700,1.2,1.000,10,76,100,0.00000000,1.00000000,0.33608290,1.00000000,736,0.939174
100,0.700,1.2,1.200,10,76,100,0.00000000,1.00000000,0.35235851,1.00000000,1364,0.887273
100,0.700,1.6,0.500,10,76,100,0.00000000,0.00000000,0.00000000,0.00000000,110,0.990909
100,0.700,1.6,0.750,10,76,100,0.00000000,1.00000000,0.27326878,1.00000000,122,0.989917
100,0.700,1.6,0.900,10,76,100,0.00000000,1.00000000,0.28397992,1.00000000,336,0.972231
100,0.700,1.6,1.000,10,76,100,0.00000000,1.00000000,0.30457783,1.00000000,720,0.940496
100,0.700,1.6,1.200,10,76,100,0.00000000,1.00000000,0.32541253,1.00000000,1366,0.887107
100,0.700,2.0,0.500,10,76,100,0.00000000,0.00000000,0.00000000,0.00000000,110,0.990909
100,0.700,2.0,0.750,10,76,100,0.00000000,1.00000000,0.31860317,1.00000000,118,0.990248
100,0.700,2.0,0.900,10,76,100,0.00000000,1.00000000,0.33496033,1.00000000,332,0.972562
100,0.700,2.0,1.000,10,76,100,0.00000000,1.00000000,0.36735697,1.00000000,738,0.939008
100,0.700,2.0,1.200,10,76,100,0.00000000,1.00000000,0.35509601,1.00000000,1354,0.888099
100,0.700,2.6,0.500,10,76,40,0.00000000,0.00000000,0.00000000,0.00000000,110,0.990909
100,0.700,2.6,0.750,10,76,55,0.00000000,1.00000000,0.18204978,1.00000000,146,0.987934
100,0.700,2.6,0.900,10,76,70,0.00000000,1.00000000,0.15268308,1.00000000,398,0.967107
100,0.700,2.6,1.000,10,76,49,0.00000000,1.00000000,0.33203156,1.00000000,754,0.937686
100,0.700,2.6,1.200,10,76,51,0.00000000,1.00000000,0.38962718,1.00000000,1286,0.893719
100,0.700,3.2,0.500,10,76,4,0.00000000,1.00000000,0.30148940,1.00000000,334,0.972397
100,0.700,3.2,0.750,10,76,11,0.00000000,1.00000000,0.24574899,1.00000000,400,0.966942
100,0.700,3.2,0.900,10,76,8,0.00000000,1.00000000,0.26798790,1.00000000,636,0.947438
100,0.700,3.2,1.000,10,76,6,0.00000000,1.00000000,0.37792152,1.00000000,748,0.938182
100,0.700,3.2,1.200,10,76,10,0.00000000,1.00000000,0.33565940,1.00000000,1006,0.916860
