config,method,lambda_eps,k,cluster_radius,lambda_k,alpha,accuracy,balanced_accuracy,precision,recall,f1,build_time_s,query_time_s
gaussian_best,knn_lambda_k1,1.8,50,2.5,50,NA,0.856250,0.472414,0.000000,0.000000,0.000000,45.59,NA
gaussian_best,knn_lambda_k3,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.59,NA
gaussian_best,knn_lambda_k5,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.59,NA
gaussian_best,knn_lambda_k7,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.59,NA
gaussian_best,knn_lambda_k11,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.59,NA
gaussian_best,knn_lambda_k15,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.59,NA
gaussian_best,knn_cosine_k1,1.8,50,2.5,50,NA,0.937500,0.905747,0.619048,0.866667,0.722222,45.59,45.5687
gaussian_best,knn_cosine_k3,1.8,50,2.5,50,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.59,45.5364
gaussian_best,knn_cosine_k5,1.8,50,2.5,50,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.59,45.5024
gaussian_best,knn_cosine_k7,1.8,50,2.5,50,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.59,45.4974
gaussian_best,knn_cosine_k11,1.8,50,2.5,50,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.59,45.5780
gaussian_best,knn_cosine_k15,1.8,50,2.5,50,NA,0.968750,0.893103,0.857143,0.800000,0.827586,45.59,45.5509
gaussian_best,umap_2d_k1,1.8,50,2.5,50,NA,0.818750,0.511494,0.111111,0.133333,0.121212,92.12,0.0033
gaussian_best,umap_2d_k3,1.8,50,2.5,50,NA,0.893750,0.493103,0.000000,0.000000,0.000000,92.12,0.0032
gaussian_best,umap_2d_k5,1.8,50,2.5,50,NA,0.893750,0.493103,0.000000,0.000000,0.000000,92.12,0.0032
gaussian_best,umap_2d_k7,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,92.12,0.0033
gaussian_best,umap_2d_k11,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,92.12,0.0032
gaussian_best,umap_2d_k15,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,92.12,0.0033
gaussian_best,search_alpha0.4,1.8,50,2.5,50,0.4,0.918750,0.722989,0.700000,0.466667,0.560000,45.59,391.5002
gaussian_best,search_alpha0.6,1.8,50,2.5,50,0.6,0.943750,0.822989,0.769231,0.666667,0.714286,45.59,393.2746
gaussian_best,search_alpha0.8,1.8,50,2.5,50,0.8,0.931250,0.826437,0.833333,0.666667,0.740741,45.59,393.5291
gaussian_best,search_alpha0.9,1.8,50,2.5,50,0.9,0.931250,0.849425,0.687500,0.733333,0.709677,45.59,391.4391
gaussian_best,search_alpha1.0,1.8,50,2.5,50,1.0,0.956250,0.919540,0.764706,0.866667,0.812500,45.59,391.8883
tight_clusters,knn_lambda_k1,1.8,25,2,50,NA,0.806250,0.444828,0.000000,0.000000,0.000000,45.23,NA
tight_clusters,knn_lambda_k3,1.8,25,2,50,NA,0.875000,0.482759,0.000000,0.000000,0.000000,45.23,NA
tight_clusters,knn_lambda_k5,1.8,25,2,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.23,NA
tight_clusters,knn_lambda_k7,1.8,25,2,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.23,NA
tight_clusters,knn_lambda_k11,1.8,25,2,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.23,NA
tight_clusters,knn_lambda_k15,1.8,25,2,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.23,NA
tight_clusters,knn_cosine_k1,1.8,25,2,50,NA,0.937500,0.905747,0.619048,0.866667,0.722222,45.23,45.5504
tight_clusters,knn_cosine_k3,1.8,25,2,50,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.23,45.5598
tight_clusters,knn_cosine_k5,1.8,25,2,50,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.23,45.5508
tight_clusters,knn_cosine_k7,1.8,25,2,50,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.23,45.5518
tight_clusters,knn_cosine_k11,1.8,25,2,50,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.23,45.5184
tight_clusters,knn_cosine_k15,1.8,25,2,50,NA,0.968750,0.893103,0.857143,0.800000,0.827586,45.23,45.5118
tight_clusters,umap_2d_k1,1.8,25,2,50,NA,0.875000,0.512644,0.142857,0.066667,0.090909,92.11,0.0033
tight_clusters,umap_2d_k3,1.8,25,2,50,NA,0.868750,0.479310,0.000000,0.000000,0.000000,92.11,0.0032
tight_clusters,umap_2d_k5,1.8,25,2,50,NA,0.906250,0.529885,0.500000,0.066667,0.117647,92.11,0.0033
tight_clusters,umap_2d_k7,1.8,25,2,50,NA,0.906250,0.529885,0.500000,0.066667,0.117647,92.11,0.0032
tight_clusters,umap_2d_k11,1.8,25,2,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,92.11,0.0033
tight_clusters,umap_2d_k15,1.8,25,2,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,92.11,0.0032
tight_clusters,search_alpha0.4,1.8,25,2,50,0.4,0.912500,0.686207,0.600000,0.400000,0.480000,45.23,389.8237
tight_clusters,search_alpha0.6,1.8,25,2,50,0.6,0.950000,0.789655,0.750000,0.600000,0.666667,45.23,389.4171
tight_clusters,search_alpha0.8,1.8,25,2,50,0.8,0.950000,0.786207,0.692308,0.600000,0.642857,45.23,392.3517
tight_clusters,search_alpha0.9,1.8,25,2,50,0.9,0.975000,0.896552,0.923077,0.800000,0.857143,45.23,390.6132
tight_clusters,search_alpha1.0,1.8,25,2,50,1.0,0.956250,0.922989,0.812500,0.866667,0.838710,45.23,391.3908
high_compression,knn_lambda_k1,1.8,50,2.5,50,NA,0.787500,0.494253,0.086957,0.133333,0.105263,45.18,NA
high_compression,knn_lambda_k3,1.8,50,2.5,50,NA,0.862500,0.475862,0.000000,0.000000,0.000000,45.18,NA
high_compression,knn_lambda_k5,1.8,50,2.5,50,NA,0.887500,0.489655,0.000000,0.000000,0.000000,45.18,NA
high_compression,knn_lambda_k7,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.18,NA
high_compression,knn_lambda_k11,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.18,NA
high_compression,knn_lambda_k15,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.18,NA
high_compression,knn_cosine_k1,1.8,50,2.5,50,NA,0.937500,0.905747,0.619048,0.866667,0.722222,45.18,45.5567
high_compression,knn_cosine_k3,1.8,50,2.5,50,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.18,45.5460
high_compression,knn_cosine_k5,1.8,50,2.5,50,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.18,45.5240
high_compression,knn_cosine_k7,1.8,50,2.5,50,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.18,45.5212
high_compression,knn_cosine_k11,1.8,50,2.5,50,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.18,45.5265
high_compression,knn_cosine_k15,1.8,50,2.5,50,NA,0.968750,0.893103,0.857143,0.800000,0.827586,45.18,45.4949
high_compression,umap_2d_k1,1.8,50,2.5,50,NA,0.850000,0.558621,0.200000,0.200000,0.200000,91.98,0.0033
high_compression,umap_2d_k3,1.8,50,2.5,50,NA,0.881250,0.545977,0.250000,0.133333,0.173913,91.98,0.0032
high_compression,umap_2d_k5,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,91.98,0.0032
high_compression,umap_2d_k7,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,91.98,0.0032
high_compression,umap_2d_k11,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,91.98,0.0033
high_compression,umap_2d_k15,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,91.98,0.0032
high_compression,search_alpha0.4,1.8,50,2.5,50,0.4,0.893750,0.675862,0.461538,0.400000,0.428571,45.18,388.9007
high_compression,search_alpha0.6,1.8,50,2.5,50,0.6,0.918750,0.745977,0.571429,0.533333,0.551724,45.18,390.5699
high_compression,search_alpha0.8,1.8,50,2.5,50,0.8,0.943750,0.822989,0.769231,0.666667,0.714286,45.18,395.4924
high_compression,search_alpha0.9,1.8,50,2.5,50,0.9,0.956250,0.889655,0.800000,0.800000,0.800000,45.18,407.0996
high_compression,search_alpha1.0,1.8,50,2.5,50,1.0,0.962500,0.922989,0.812500,0.866667,0.838710,45.18,406.6829
dense_graph,knn_lambda_k1,1.8,50,3,100,NA,0.818750,0.511494,0.111111,0.133333,0.121212,45.08,NA
dense_graph,knn_lambda_k3,1.8,50,3,100,NA,0.887500,0.489655,0.000000,0.000000,0.000000,45.08,NA
dense_graph,knn_lambda_k5,1.8,50,3,100,NA,0.887500,0.489655,0.000000,0.000000,0.000000,45.08,NA
dense_graph,knn_lambda_k7,1.8,50,3,100,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.08,NA
dense_graph,knn_lambda_k11,1.8,50,3,100,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.08,NA
dense_graph,knn_lambda_k15,1.8,50,3,100,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.08,NA
dense_graph,knn_cosine_k1,1.8,50,3,100,NA,0.937500,0.905747,0.619048,0.866667,0.722222,45.08,45.5269
dense_graph,knn_cosine_k3,1.8,50,3,100,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.08,45.5697
dense_graph,knn_cosine_k5,1.8,50,3,100,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.08,45.6091
dense_graph,knn_cosine_k7,1.8,50,3,100,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.08,45.5337
dense_graph,knn_cosine_k11,1.8,50,3,100,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.08,45.5445
dense_graph,knn_cosine_k15,1.8,50,3,100,NA,0.968750,0.893103,0.857143,0.800000,0.827586,45.08,45.5222
dense_graph,umap_2d_k1,1.8,50,3,100,NA,0.881250,0.575862,0.300000,0.200000,0.240000,92.04,0.0034
dense_graph,umap_2d_k3,1.8,50,3,100,NA,0.900000,0.526437,0.333333,0.066667,0.111111,92.04,0.0033
dense_graph,umap_2d_k5,1.8,50,3,100,NA,0.906250,0.500000,0.000000,0.000000,0.000000,92.04,0.0032
dense_graph,umap_2d_k7,1.8,50,3,100,NA,0.906250,0.500000,0.000000,0.000000,0.000000,92.04,0.0032
dense_graph,umap_2d_k11,1.8,50,3,100,NA,0.906250,0.500000,0.000000,0.000000,0.000000,92.04,0.0032
dense_graph,umap_2d_k15,1.8,50,3,100,NA,0.906250,0.500000,0.000000,0.000000,0.000000,92.04,0.0033
dense_graph,search_alpha0.4,1.8,50,3,100,0.4,0.900000,0.712644,0.538462,0.466667,0.500000,45.08,408.9179
dense_graph,search_alpha0.6,1.8,50,3,100,0.6,0.931250,0.886207,0.750000,0.800000,0.774194,45.08,412.2635
dense_graph,search_alpha0.8,1.8,50,3,100,0.8,0.925000,0.845977,0.647059,0.733333,0.687500,45.08,396.4905
dense_graph,search_alpha0.9,1.8,50,3,100,0.9,0.956250,0.905747,0.619048,0.866667,0.722222,45.08,400.1067
dense_graph,search_alpha1.0,1.8,50,3,100,1.0,0.962500,0.916092,0.722222,0.866667,0.787879,45.08,410.7036
sparse_graph,knn_lambda_k1,1.8,25,1.6,30,NA,0.781250,0.431034,0.000000,0.000000,0.000000,45.12,NA
sparse_graph,knn_lambda_k3,1.8,25,1.6,30,NA,0.900000,0.496552,0.000000,0.000000,0.000000,45.12,NA
sparse_graph,knn_lambda_k5,1.8,25,1.6,30,NA,0.900000,0.496552,0.000000,0.000000,0.000000,45.12,NA
sparse_graph,knn_lambda_k7,1.8,25,1.6,30,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.12,NA
sparse_graph,knn_lambda_k11,1.8,25,1.6,30,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.12,NA
sparse_graph,knn_lambda_k15,1.8,25,1.6,30,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.12,NA
sparse_graph,knn_cosine_k1,1.8,25,1.6,30,NA,0.937500,0.905747,0.619048,0.866667,0.722222,45.12,45.7081
sparse_graph,knn_cosine_k3,1.8,25,1.6,30,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.12,45.6004
sparse_graph,knn_cosine_k5,1.8,25,1.6,30,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.12,45.5309
sparse_graph,knn_cosine_k7,1.8,25,1.6,30,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.12,45.5472
sparse_graph,knn_cosine_k11,1.8,25,1.6,30,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.12,45.5561
sparse_graph,knn_cosine_k15,1.8,25,1.6,30,NA,0.968750,0.893103,0.857143,0.800000,0.827586,45.12,45.5259
sparse_graph,umap_2d_k1,1.8,25,1.6,30,NA,0.825000,0.485057,0.066667,0.066667,0.066667,92.12,0.0033
sparse_graph,umap_2d_k3,1.8,25,1.6,30,NA,0.868750,0.479310,0.000000,0.000000,0.000000,92.12,0.0032
sparse_graph,umap_2d_k5,1.8,25,1.6,30,NA,0.900000,0.496552,0.000000,0.000000,0.000000,92.12,0.0032
sparse_graph,umap_2d_k7,1.8,25,1.6,30,NA,0.906250,0.500000,0.000000,0.000000,0.000000,92.12,0.0032
sparse_graph,umap_2d_k11,1.8,25,1.6,30,NA,0.906250,0.500000,0.000000,0.000000,0.000000,92.12,0.0032
sparse_graph,umap_2d_k15,1.8,25,1.6,30,NA,0.906250,0.500000,0.000000,0.000000,0.000000,92.12,0.0033
sparse_graph,search_alpha0.4,1.8,25,1.6,30,0.4,0.918750,0.752874,0.666667,0.533333,0.592593,45.12,415.2959
sparse_graph,search_alpha0.6,1.8,25,1.6,30,0.6,0.937500,0.816092,0.666667,0.666667,0.666667,45.12,415.5795
sparse_graph,search_alpha0.8,1.8,25,1.6,30,0.8,0.943750,0.816092,0.666667,0.666667,0.666667,45.12,416.6330
sparse_graph,search_alpha0.9,1.8,25,1.6,30,0.9,0.950000,0.845977,0.647059,0.733333,0.687500,45.12,413.7722
sparse_graph,search_alpha1.0,1.8,25,1.6,30,1.0,0.975000,0.916092,0.722222,0.866667,0.787879,45.12,416.7946
